date,residuals,fitted_values,actual_inflation
1991-01-01,1.590100883036242,4.056957940493163,5.647058823529405
1991-04-01,2.0002980920966027,2.8096320863362725,4.809930178432875
1991-07-01,1.7545590356426142,2.61325705631141,4.367816091954024
1991-10-01,0.12356002114304099,2.7250156910008783,2.8485757121439192
1992-01-01,0.8617070574589536,1.8108987331869453,2.672605790645899
1992-04-01,0.9015873291707486,2.281240205988401,3.1828275351591495
1992-07-01,1.4566760374695154,1.700445842119338,3.1571218795888534
1992-10-01,1.3164127187928742,1.9634706631313237,3.279883381924198
1993-01-01,1.1283015971427228,2.1254944983019715,3.2537960954446943
1993-04-01,0.8185565538868675,2.337827951134647,3.1563845050215145
1993-07-01,0.4636111437749548,2.3833639451930075,2.8469750889679624
1993-10-01,-0.15155947855084362,2.9038530565325007,2.752293577981657
1994-01-01,0.3353928407818825,2.1155875513749716,2.450980392156854
1994-04-01,-0.1301898153315273,2.494584808377409,2.364394993045882
1994-07-01,0.30034262924353383,2.398619308472726,2.69896193771626
1994-10-01,-0.026305262188022205,2.636195372078145,2.609890109890123
1995-01-01,0.18900716936310635,2.681806227766073,2.8708133971291794
1995-04-01,-0.0016634297336186599,3.126663429733641,3.125000000000022
1995-07-01,0.35002654842555714,2.480162130819714,2.8301886792452713
1995-10-01,0.21826868030625013,2.5260418953296164,2.7443105756358666
1996-01-01,0.4612191535473844,2.329478520871212,2.7906976744185963
1996-04-01,0.17410324961723056,2.6585713221877745,2.832674571805005
1996-07-01,0.2037808518558446,2.679574325077322,2.8833551769331667
1996-10-01,0.3106195989436733,2.751269651870647,3.0618892508143203
1997-01-01,0.31609590053368386,2.722042431722307,3.0381383322559907
1997-04-01,-0.33445343665695537,2.7687904001419175,2.434336963484962
1997-07-01,-0.14984678437381227,2.315451879915213,2.165605095541401
1997-10-01,-0.4433208892229805,2.529288019437897,2.0859671302149163
1998-01-01,-0.08639806633724412,1.7175147539156486,1.6311166875784044
1998-04-01,-0.5185587450259783,1.9569577444005688,1.4383989993745905
1998-07-01,-0.49132870651327565,2.2369646167377057,1.74563591022443
1998-10-01,-0.5813498307866123,2.06741794224172,1.4860681114551078
1999-01-01,-0.7821537741686422,2.448820440835303,1.6666666666666607
1999-04-01,-0.16519325574045363,2.4463276577133377,2.281134401972884
1999-07-01,-0.29936830911108503,2.4439761522483434,2.1446078431372584
1999-10-01,-0.263264000557919,2.825802133565849,2.56253813300793
2000-01-01,-0.22277626746145351,3.0157331587790086,2.792956891317555
2000-04-01,-0.38394164824100185,3.397805421598441,3.013863773357439
2000-07-01,0.587376665112072,3.0119034788591232,3.5992801439711952
2000-10-01,0.08140296649981416,3.368924219698873,3.4503271861986873
2001-01-01,0.7632463917346097,2.957958569871985,3.7212049616065945
2001-04-01,0.1456434975337575,3.0726127926944478,3.2182562902282053
2001-07-01,0.5346321700345111,2.1868501692822386,2.7214823393167498
2001-10-01,2.787100609321838,-0.6594410348537609,2.127659574468077
2002-01-01,0.45695109010818324,0.7389486821013911,1.1958997722095743
2002-04-01,-0.5439726706688384,2.1879636003740575,1.643990929705219
2002-07-01,-0.4129941707500624,1.8786086014152144,1.465614430665152
2002-10-01,0.29093777977727386,1.7360892472497436,2.0270270270270174
2003-01-01,1.0475906514983375,1.7098657356710616,2.757456387169399
2003-04-01,0.6834184494000719,1.4917070386088391,2.175125488008911
2003-07-01,1.7824272405165784,0.2731283150389654,2.055555555555544
2003-10-01,0.21820003825377965,1.8237425666027485,2.041942604856528
2004-01-01,-0.03942062989529305,2.0657075959413023,2.026286966046009
2004-04-01,-0.6316533762490741,2.9242297954630616,2.2925764192139875
2004-07-01,0.3239900650340912,2.615585329631137,2.939575394665228
2004-10-01,0.40889698669537644,2.7820170208762782,3.1909140075716547
2005-01-01,0.3460476800998453,2.498826179266758,2.8448738593666034
2005-04-01,0.1708318259960535,3.1909611302472722,3.3617929562433257
2005-07-01,0.3259697665158785,2.7411904661652424,3.067160232681121
2005-10-01,-1.0591276374757586,5.4092324592786944,4.350104821802936
2006-01-01,1.2016776039928505,2.817111540057266,4.018789144050117
2006-04-01,0.2963205430922895,3.3175152855086414,3.613835828600931
2006-07-01,0.9537073312656168,3.150961729791337,4.104669061056954
2006-10-01,-1.6539252511558078,3.060253729307505,1.4063284781516971
2007-01-01,-0.7674478397290461,2.8432130178524693,2.075765178123423
2007-04-01,-0.7760657570182956,3.368990520346648,2.5929247633283525
2007-07-01,-1.167546492315934,3.4854370788117417,2.3178905864958077
2007-10-01,0.625317029438107,2.985381336089369,3.610698365527476
2008-01-01,0.8847320505154244,3.4099636046505566,4.294695655165981
2008-04-01,-1.8407792824716909,5.744540258460503,3.9037609759888126
2008-07-01,-0.5450723469108594,6.042584425252697,5.497512078341837
2008-10-01,-0.1334424707649715,3.8645003607214843,3.7310578899565128
2009-01-01,-0.8144719493590808,0.7008859303369537,-0.11358601902212717
2009-04-01,-1.9739732237299328,1.3976487993532265,-0.5763244243767063
2009-07-01,-3.3961119237325925,1.4373509199703154,-1.9587610037622771
2009-10-01,-1.5340528483368323,1.3100845541364938,-0.22396829420033848
2010-01-01,1.4283884016854094,1.1927229872913063,2.6211113889767157
2010-04-01,0.8739710348341765,1.3327997176962638,2.2067707525304403
2010-07-01,0.2168022097180904,1.1239762707640173,1.3407784804821077
2010-10-01,0.044671605703666906,1.1220235432277956,1.1666951489314625
2011-01-01,-0.6620684575744566,2.362851949077434,1.7007834915029774
2011-04-01,-1.2840962835888252,4.361330728375695,3.0772344447868694
2011-07-01,1.197131768673656,2.3827492083259605,3.5798809769996165
2011-10-01,1.425613529311701,2.0966546013523515,3.5222681306640524
2012-01-01,0.622433734885282,2.3863326031002203,3.0087663379855023
2012-04-01,0.032021236601477376,2.2411421375333793,2.2731633741348567
2012-07-01,-0.48614584553376394,1.9036573253802422,1.4175114798464783
2012-10-01,-0.011572472772653164,2.1672505323095894,2.1556780595369363
2013-01-01,-0.7616723203469999,2.445734082445299,1.684061762098299
2013-04-01,-1.069808854602666,2.208616902179533,1.138808047576867
2013-07-01,-0.39406732939393185,2.279539134809738,1.885471805415806
2013-10-01,-1.2562040837865025,2.1330032272776496,0.8767991434911471
2014-01-01,-0.8884258703119152,2.4461846658868303,1.557758795574915
2014-04-01,-0.6935936894246844,2.7087189930308533,2.015125303606169
2014-07-01,-0.8958595871095474,2.8700974574401448,1.9742378703305974
2014-10-01,-0.714487392394461,2.32402909454579,1.6095417021513292
2015-01-01,-1.8815312755477418,1.6516002973423136,-0.22993097820542818
2015-04-01,-1.9927944917763671,1.8887635023824565,-0.10403098939391064
2015-07-01,-2.041777979794757,2.267464090835703,0.22568611104094582
2015-10-01,-2.0183814774903284,2.1459980381608355,0.12761656067050708
2016-01-01,-0.6203950518605925,1.85789755455498,1.2375025026943876
2016-04-01,-1.1047208051399608,2.277346555493445,1.1726257503534843
2016-07-01,-1.313218320921845,2.1815816639736707,0.8683633430518256
2016-10-01,0.034500495775090734,1.6514244704685552,1.685924966243646
2017-01-01,0.4793471546653607,2.031046193591751,2.5103933482571117
2017-04-01,0.24031224280100183,1.9359112291143932,2.176223471915395
2017-07-01,-0.3988704874002682,2.1239778380568755,1.7251073506566073
2017-10-01,0.20871896909563858,1.8120387840368464,2.020757753132485
2018-01-01,-0.20806163428642455,2.3593805023503696,2.151318868063945
2018-04-01,0.11481371421476405,2.3561825878905354,2.4709963021052994
2018-07-01,0.11684365812167341,2.7372811274402555,2.854124785561929
2018-10-01,-0.24255122321816325,2.734583693436216,2.492032470218053
2019-01-01,-0.8604920045848865,2.3480813624140198,1.4875893578291333
2019-04-01,-0.08757379023875433,2.088157260447815,2.000583470209061
2019-07-01,-0.426556545371374,2.252887880408442,1.826331335037068
2019-10-01,-0.3756067840410551,2.1095804836596845,1.7339736996186295
2020-01-01,0.49183896029807084,2.107929016547131,2.599767976845202
2020-04-01,1.7039001585224085,-1.3908528644812952,0.3130472940411133
2020-07-01,-0.2741139716931018,1.2709787342829015,0.9968647625897997
2020-10-01,-0.20624956272101969,1.436635905588182,1.2303863428671624
2021-01-01,-0.874382604981446,2.229702583216061,1.3553199782346148
2021-04-01,1.166212056951756,2.9711613963665933,4.137373453318349
2021-07-01,-0.045356108717776955,5.314523755958746,5.269167647240969
2021-10-01,0.5191200141570116,5.7074712066144375,6.226591220771449
2022-01-01,1.5786825303434595,5.9993999326570755,7.578082463000535
2022-04-01,1.3273094620286159,6.907852281993886,8.235161744022502
2022-07-01,1.8239752293198217,6.623802977434731,8.447778206754553
2022-10-01,1.4933264238236976,6.263935046985765,7.757261470809462
2023-01-01,1.8864919517222143,4.453804358206947,6.340296309929161
2023-04-01,-0.8649321334129025,5.811879621475228,4.946947488062325
2023-07-01,-0.33722141529593586,3.6175496176421857,3.28032820234625
2023-10-01,-1.6025526420234364,4.849090149700153,3.2465375076767167
