,survival_count,original_p_value,original_r_squared,domain
DTWEXBGS_yoy_lag12,0,0.0006586092392876,0.1557938495296913,EXTERNAL
STLFSI4_level_lag1,0,0.0159378567151306,0.1509238439151774,EXPECTATIONS
T5YIE_level_lag3,0,0.0074860810261543,0.1049536194307463,EXPECTATIONS
T5YIE_level,0,0.0327744902073954,0.1039864163149326,EXPECTATIONS
T5YIE_level_lag1,0,0.0100527214075688,0.0976127250836894,EXPECTATIONS
T10YIE_level_lag3,0,0.0183119901342055,0.0826699976925082,EXPECTATIONS
DEXUSEU_yoy_lag12,0,0.0050816625973736,0.0781241398192283,FINANCIAL
GS10_level,0,0.0020104819159779,0.0710173387345128,MONETARY
AWHMAN_level,0,0.0022971125459178,0.0692626065709539,LABOR_HOURS
AWHI_level,0,0.005488059075332,0.0578059456059255,LABOR_HOURS
GS2_level,0,0.0081864381764228,0.0525609767100374,MONETARY
T10YIE_level_lag1,0,0.0640437607535802,0.0517776054106785,EXPECTATIONS
T10YIE_level,0,0.1476562255765102,0.0492527167098234,EXPECTATIONS
BOGMBASE_yoy_lag12,0,0.01292584836798,0.0465945091486488,MONETARY
T5YIE_level_lag6,0,0.1275197985881694,0.0402690466594594,EXPECTATIONS
FEDFUNDS_level,0,0.0397363991168555,0.0321291224862969,MONETARY
M2SL_yoy_lag12,0,0.052721372054084,0.0285622760845198,MONETARY
DTWEXBGS_yoy_lag6,0,0.1633686440064153,0.0279619082311974,EXTERNAL
LNU01300060_yoy,0,0.0591466262516506,0.0271241559374324,DEMOGRAPHICS
DCOILWTICO_yoy_lag3,0,0.1079544683466495,0.0197549842508766,EXTERNAL
PSAVERT_level,0,0.109018199272587,0.0196375236292974,FINANCIAL
DCOILWTICO_yoy_lag1,0,0.1434455523718578,0.0163936740978883,EXTERNAL
DTWEXBGS_yoy_lag1,0,0.2955608428815765,0.0158450534252068,EXTERNAL
CIVPART_level,0,0.1563909088817365,0.0153919456052746,DEMOGRAPHICS
DEXUSEU_yoy,0,0.2365491964735522,0.0144134011955282,FINANCIAL
DTWEXBGS_yoy,0,0.3365005051015272,0.0133939636752693,EXTERNAL
STLFSI4_level_lag6,0,0.5138835879675898,0.0122747694954407,EXPECTATIONS
T10YIE_level_lag6,0,0.4228931406651401,0.011302556619831,EXPECTATIONS
GFDEBTN_level,0,0.2260611301204467,0.0112524889605204,FISCAL
DEXUSEU_yoy_lag1,0,0.2971141182008248,0.0112018900672283,FINANCIAL
DCOILWTICO_yoy_lag6,0,0.2313553086509599,0.0110007723362295,EXTERNAL
DFEDTARU_level_lag6,0,0.4295742037948508,0.0107925706293191,MONETARY
DFEDTARU_level_lag3,0,0.4305996323263584,0.0107449388909643,MONETARY
DFEDTARU_level,0,0.4305996323263584,0.0107449388909643,MONETARY
DFEDTARU_level_lag1,0,0.4305996323263584,0.0107449388909643,MONETARY
DSPIC96_yoy_lag12,0,0.2566534143877967,0.0098867524403175,FINANCIAL
T5YIE_level_lag12,0,0.4712196537085191,0.0086863063818254,EXPECTATIONS
DFEDTARU_level_lag12,0,0.4856282981554515,0.0084195975054358,MONETARY
NETEXP_level,0,0.2993530920080975,0.0082825966103583,EXTERNAL
DEXUSEU_yoy_lag6,0,0.3825238840847128,0.0078710582330915,FINANCIAL
DCOILWTICO_yoy_lag12,0,0.3265596889749073,0.0074047501922606,EXTERNAL
HOANBS_yoy,0,0.3279650294774634,0.0073620093587042,LABOR_HOURS
DTWEXBGS_yoy_lag3,0,0.4915296500908263,0.0068836649705258,EXTERNAL
EMRATIO_level,0,0.3566060441001177,0.0065406938919886,DEMOGRAPHICS
FGEXPND_yoy,0,0.3602277499617216,0.0064431772255396,FISCAL
VIXCLS_level_lag3,0,0.4445261887377703,0.0051371053542959,FINANCIAL
DCOILWTICO_yoy,0,0.469454954353586,0.0040324194921389,EXTERNAL
BOGMBASE_yoy,0,0.4843804746950435,0.0037687925176718,MONETARY
FGRECPT_yoy,0,0.5044967129718001,0.0034339411082083,FISCAL
VIXCLS_level_lag1,0,0.552208836332782,0.0031642297796298,FINANCIAL
VIXCLS_level_lag12,0,0.6270432874622793,0.0021735694194821,FINANCIAL
LNU01300060_yoy_lag12,0,0.5968464961887623,0.0021581013256114,DEMOGRAPHICS
VIXCLS_level_lag6,0,0.6460505342666001,0.0020357336939132,FINANCIAL
M2SL_yoy,0,0.6145660867390956,0.0019562084584476,MONETARY
FYONGDA188S_level,0,0.8234163736032861,0.0016311435289912,FISCAL
VIXCLS_level,0,0.7817353506667895,0.0011365260328518,FINANCIAL
T10YIE_level_lag12,0,0.8109583316980773,0.000961046327962,EXPECTATIONS
OPHNFB_yoy,0,0.7451310764901389,0.0008156295647072,LABOR_HOURS
DEXUSEU_yoy_lag3,0,0.8500401228894335,0.0003703555767985,FINANCIAL
DSPIC96_yoy,0,0.9755335539455304,7.26312012244712e-06,FINANCIAL
M2SL_yoy_lag6,0,,0.0,MONETARY
HOANBS_yoy_lag12,0,,0.0,LABOR_HOURS
HOANBS_yoy_lag6,0,,0.0,LABOR_HOURS
OPHNFB_yoy_lag1,0,,0.0,LABOR_HOURS
OPHNFB_yoy_lag3,0,,0.0,LABOR_HOURS
OPHNFB_yoy_lag6,0,,0.0,LABOR_HOURS
OPHNFB_yoy_lag12,0,,0.0,LABOR_HOURS
FGRECPT_yoy_lag12,0,,0.0,FISCAL
FGRECPT_yoy_lag6,0,,0.0,FISCAL
FGEXPND_yoy_lag12,0,,0.0,FISCAL
FGEXPND_yoy_lag6,0,,0.0,FISCAL
FGEXPND_yoy_lag1,0,,0.0,FISCAL
FGEXPND_yoy_lag3,0,,0.0,FISCAL
FGRECPT_yoy_lag3,0,,0.0,FISCAL
BOGMBASE_yoy_lag1,0,,0.0,MONETARY
BOGMBASE_yoy_lag6,0,,0.0,MONETARY
BOGMBASE_yoy_lag3,0,,0.0,MONETARY
M2SL_yoy_lag1,0,,0.0,MONETARY
M2SL_yoy_lag3,0,,0.0,MONETARY
HOANBS_yoy_lag1,0,,0.0,LABOR_HOURS
HOANBS_yoy_lag3,0,,0.0,LABOR_HOURS
LNU01300060_yoy_lag3,0,,0.0,DEMOGRAPHICS
FGRECPT_yoy_lag1,0,,0.0,FISCAL
LNU01300060_yoy_lag6,0,,0.0,DEMOGRAPHICS
LNU01300060_yoy_lag1,0,,0.0,DEMOGRAPHICS
DSPIC96_yoy_lag1,0,,0.0,FINANCIAL
DSPIC96_yoy_lag6,0,,0.0,FINANCIAL
DSPIC96_yoy_lag3,0,,0.0,FINANCIAL
MICH_level,0,0.9999999999999964,-2.220446049250313e-16,EXPECTATIONS
