,GDP_growth,PCE_growth,Investment_growth,Gov_Spending_growth,Exports_growth,Imports_growth,SP500_return,Energy_return,Materials_return,Industrials_return,Financials_return,Healthcare_return,ConsDiscr_return,ConsStaples_return,CommServices_return,Technology_return,Utilities_return
2018-09-30,2.487041930090145,1.8393023057839728,11.983384208430614,3.1492091196454948,-5.024436047396493,5.584967421573554,6.948735854824029,0.4215401150352352,0.2337065420089901,9.512919583399798,4.09825885926748,13.497764299718224,7.294043188599096,5.256130500848878,-0.805553731120557,8.436889050816054,2.2142280285465996
2018-12-31,0.5661759932739241,1.2477278918774808,0.2689942360001989,0.5420555679080865,1.6584520604508408,4.157712480471034,-15.049281375607832,-26.882303447156712,-13.038254803355937,-19.0395662691357,-14.03495927847547,-9.066580675542278,-16.491995342222673,-5.107491883658451,-16.81913072418816,-19.073591607947417,1.357250040267361
2019-03-31,2.4895091629067716,0.6331065664778235,3.291659184767073,5.49455810105414,3.7333552388058577,-0.24515042803643208,12.280321624238706,15.011073910598792,9.832404205386702,15.836686811479098,8.1446379482433,6.252438219331491,14.30675102432622,10.527501711028647,12.662619865208299,18.047914371283465,10.197745767983747
2019-06-30,3.3267111731583214,3.397975043440475,3.6598109499120097,5.390980618014767,-2.031227781644754,2.2084201383361006,3.717780489772283,-2.8043236386263657,5.860653749370354,3.5696251423563377,7.60180436014235,1.3911341578757133,4.9362636729159854,4.192787975652227,5.345377002342381,5.668323079626507,3.2740331403338407
2019-09-30,4.6528410323636225,4.515219737834282,3.142307167277656,4.54090181141892,0.08446179191085465,-1.7447382504450326,1.1820693681515102,-6.431583493059268,-0.012670502997616483,0.7994614939182515,1.9473941022243189,-2.332335170548573,1.5817313555501311,6.198511942042009,0.8406434304528593,3.4518965859028867,8.992448483038048
2019-12-31,2.718254387221374,2.615262630952239,-5.218158862378842,3.2217337561245394,2.428106435426006,-7.566426526648848,8.189486452323777,5.326611106885772,5.9347905477852345,5.323983964273673,9.973846139922742,13.296664993756794,4.165145943553259,3.3239739612632895,8.190576013789903,13.28222873308133,0.5924296531121739
2020-03-31,-5.608905961007375,-6.835341417818144,-10.380535025598595,4.326918954372169,-17.50029545524622,-14.76552105416333,-22.315668118120488,-70.35183548102947,-30.35250096678452,-31.47937005859427,-38.25074214291822,-13.48516778564204,-24.104428351168938,-13.945608357751945,-18.9665745130477,-12.634566122133773,-14.380228653504199
2020-12-31,4.315538261194981,5.608706171789841,12.204489742478849,-1.53894458968003,23.72114590682411,27.9788926605995,11.053978346163756,24.870779998149526,13.38102281786939,14.415035423825055,20.809531654198427,7.686750648386517,9.159243462050872,5.927973733571424,12.913302201266799,11.040800780517221,6.28193173069828
2021-03-31,5.482993242420685,9.049840591535151,-2.4513894952628115,5.103150661399729,0.33099225493464307,7.973381347163051,5.61205463041949,26.864700036170575,8.905854523439103,10.905424446871788,14.854031244201371,3.2139629230053153,4.593102644202392,1.8062091205274386,8.476706285787012,2.334006078650485,2.858582091165668
2021-06-30,6.231388706069377,13.19340891690057,-6.564540600654858,-4.31654621152286,3.1705198156753065,7.9760773074802405,7.853969575090218,10.36974802134218,4.791142253833497,4.249527432496349,7.862751590633915,7.983068950924135,6.197050813259488,3.0485035457489396,10.104136771050706,10.782421559281449,-0.49925635975585014
2021-09-30,3.3969327271433314,3.1003681486881107,15.11418988999487,-1.5493172098885692,0.8963824626469358,8.202583888162188,0.2333526299210618,-2.1524801116523333,-3.529119345362428,-4.2328833586110415,2.6956609371448765,1.4179004651142353,0.6522751497161926,-1.006843260262095,-0.8968550834555552,1.2936780604671485,1.7770896138353593
2021-12-31,7.148379282892902,4.335269481896369,24.947584563596408,-0.2830884043795122,22.72216026406837,18.871103977378027,10.117819779018065,7.627521494228448,14.078045664088956,8.207705073604254,4.4481664063091575,10.526861259335586,13.187432954110816,12.027965557120199,-2.8747979154583345,15.410618767699985,12.163879424996829
2022-03-31,-1.0311458060159353,0.964280861426688,7.123446212562078,-3.4133270638818844,-4.727742709907943,12.555759522555835,-5.073270474947213,32.964318300311916,-2.3766117117468637,-2.378870553699207,-1.49658821329497,-2.495698761114215,-9.83834539795093,-1.1422402731235566,-11.914587322501546,-8.79979593437301,4.610607727465009
2022-06-30,0.28061931633591347,2.5443136203336914,-8.936119282478568,-1.500708586211318,11.934615977667805,5.761658519827803,-17.96662304214795,-5.551679377368939,-17.34973123797383,-16.03456100390342,-19.22564488721275,-6.179163588620183,-29.456768281446916,-4.264099311356665,-23.452410128436636,-22.073702271413236,-5.194082350717614
2022-09-30,2.6838090928224605,1.51380810175257,-5.891436781873459,1.5530425056444634,13.53263501657943,-5.596049487249178,-5.421481259468217,1.7950119229133077,-7.335014276622964,-4.812216889794613,-3.0026480967558213,-5.322631464203022,3.760394226186388,-7.2024043267589795,-12.295298564334404,-6.53925592004983,-6.139736007217861
2022-12-31,3.297680891457038,1.2132989891209176,5.605248287885201,5.291305675391224,-1.146924990611064,-4.625314889973469,6.841071518983645,20.45990574185644,13.940020850966317,17.495854718642466,12.535087394975768,11.896291891051455,-9.520196430580652,11.796051569134473,0.4544903565868145,4.9417918599702695,8.155840293177615
2023-03-31,2.7586406434966686,4.8316059160917835,-9.32363618968731,4.960888605735033,1.940272121281278,-0.8130930786663573,6.791299567281989,-4.412319699000246,4.1984974851238634,3.388773281671568,-5.6862419417310015,-4.428649813147983,14.95587523257452,0.6939913336938692,19.166341260420985,19.572753150138517,-3.333055819130796
2023-06-30,2.4205568786145557,0.987162659995322,7.665340035793279,2.8915572534741765,-4.91756343313283,-3.171832790870078,7.973431399747659,-1.1475328368265152,3.1923138764649286,6.290462964454156,5.1859128297928425,2.9053094731510387,12.912569355922168,-0.018512260353704894,11.7314465396445,14.299666273921527,-2.5793386706165684
2023-09-30,4.263290657979175,2.517547775978559,9.618020710207926,5.52778320682682,4.760701401309698,4.549190591420562,-3.7157420858572046,11.494031547095908,-4.872873517012115,-5.287377501971919,-1.1688568549829559,-2.642882023019635,-5.162305048574397,-6.825650058047716,0.9992367209671237,-5.667723990454742,-9.671281665276084
2023-12-31,3.1423157415890413,3.4280910936329003,0.7103871198227583,3.5724532598954375,6.0026420406120655,4.128327133095655,10.647864263095762,-6.566428775954335,9.22119803446358,12.269115078193645,13.029662172929763,6.211756442569227,10.68310396010371,5.328593297558851,10.512594600188926,16.275655477352238,8.138527896937575
2024-03-31,1.6159400794374181,1.9090861599073705,3.5350016348172746,1.7527267418769872,1.897670334932939,5.957096287037963,9.67456423109405,12.678576299436466,8.601750237530283,10.293939591779779,11.727663689143233,8.354545151352413,3.018985273401392,6.571152070485997,11.94757964280737,8.049313662343629,4.420626317959061
2024-06-30,2.945050185764691,2.775238347769242,8.014415608646138,3.00648443023953,1.0287863362295422,7.293220020184742,3.848037086176328,-2.7142027069164647,-4.581009614985911,-2.9579900445793084,-2.0319664444253838,-0.9582631152601436,-0.5986747414928157,1.0398439932107495,5.04623535839563,8.446958870135198,4.5257184433096365
2024-09-30,3.026562884074225,3.635128067788186,0.7820811665340054,4.9926973415623355,9.17314624232031,10.204178963842356,5.383123980767914,-2.922065838132024,9.189867735340105,10.881522758503454,10.111727805108627,5.89125272783117,9.602483911771305,8.580456481346141,5.688872268661958,-0.028506390647253604,17.69186524553719
2024-12-31,2.4209192247877214,3.956183237940689,-5.765034801616775,3.0168477884597875,-0.15589428047890538,-1.9034115841948485,2.0465980243201463,-1.6321207735311922,-13.061492359229504,-2.2527327237556505,6.855956626648297,-10.843212579495876,11.49350698205294,-4.678247527837407,7.110219445534402,3.1141025621714573,-5.683279029654608
2025-03-31,-0.503784292504542,0.45774281469630185,21.37850798013809,-0.5646238888578666,0.4105324357672649,32.17328244670823,-4.695346360899079,9.480945912539564,2.6388129696140425,-0.2183342037190646,3.37889977251946,6.340361028691971,-12.492252270842464,4.347081519922607,-0.07702829391058708,-11.701848195701244,4.797375524295734
